iter	Logloss
0	0.6402530033
1	0.6085890921
2	0.5675425439
3	0.5450929717
4	0.5201185416
5	0.5082887237
6	0.4942266757
7	0.4727047974
8	0.4617255884
9	0.4473795181
10	0.4332467749
11	0.4211590747
12	0.4117668796
13	0.4012302608
14	0.3911049309
15	0.3877886946
16	0.3789013652
17	0.3743110417
18	0.364391065
19	0.356483903
20	0.3550603613
21	0.3532817304
22	0.3463532419
23	0.3386401044
24	0.3323884367
25	0.3266885319
26	0.3211155774
27	0.3176814292
28	0.3143377858
29	0.3110186092
30	0.3064786712
31	0.3049518773
32	0.3011971365
33	0.2952372185
34	0.2920661229
35	0.2877214601
36	0.2851661386
37	0.2831283163
38	0.2799877472
39	0.276241487
40	0.2747890494
41	0.270302535
42	0.2681965965
43	0.2650439802
44	0.2633008445
45	0.2624358797
46	0.2608023315
47	0.2584044901
48	0.258062852
49	0.2557635641
50	0.2523942547
51	0.2496450665
52	0.2482011738
53	0.2462834437
54	0.244567093
55	0.2428181722
56	0.2391233325
57	0.236325839
58	0.2352559843
59	0.2330699628
60	0.230739431
61	0.2297855549
62	0.2284624008
63	0.2274835226
64	0.2262748571
65	0.2237911873
66	0.2225638049
67	0.2214465231
68	0.2197352349
69	0.2181833901
70	0.2145307996
71	0.2125352444
72	0.2109518986
73	0.208952952
74	0.2071226724
75	0.206175775
76	0.2037756297
77	0.2020577355
78	0.200961763
79	0.2002591486
80	0.1978906484
81	0.1964280721
82	0.1951840641
83	0.1945864877
84	0.192938054
85	0.1908981351
86	0.1902832949
87	0.1876828441
88	0.1865708277
89	0.186555969
90	0.1852676973
91	0.1834090027
92	0.1807741452
93	0.1797794272
94	0.1768923717
95	0.1759138238
96	0.1737727768
97	0.1733329823
98	0.1732374553
99	0.1718458242
100	0.1699107696
101	0.1698765374
102	0.16875587
103	0.1676024075
104	0.166392037
105	0.1649398369
106	0.1644385287
107	0.1639326455
108	0.1628606596
109	0.1620881685
110	0.1595340335
111	0.1579179669
112	0.1578017734
113	0.1561256128
114	0.1554386434
115	0.1547346699
116	0.1533911178
117	0.1520910013
118	0.1508985375
119	0.1504477562
120	0.1494258304
121	0.1486436675
122	0.1477877984
123	0.1468315875
